iter	RMSE	R2
708	120.5514346	0.96525171
709	120.4926978	0.9652855629
710	120.4539234	0.9653079015
711	120.4311639	0.9653210102
712	120.3924631	0.965343295
713	120.360852	0.965361492
714	120.1727965	0.965469648
715	120.1661243	0.9654734823
716	120.1079536	0.9655069017
717	120.0479362	0.9655413652
718	119.9725535	0.9655846274
719	119.9106127	0.965620155
720	119.9063804	0.9656225818
721	119.8819843	0.9656365692
722	119.8026723	0.9656820228
723	119.7704271	0.9657004938
724	119.7302814	0.9657234836
725	119.6508519	0.9657689469
726	119.5797201	0.9658096351
727	119.5283831	0.9658389855
728	119.489199	0.9658613793
729	119.4684935	0.9658732096
730	119.3574788	0.965936604
731	119.3390598	0.9659471163
732	119.2727572	0.9659849442
733	119.2538937	0.9659957026
734	119.1481472	0.9660559814
735	119.1329153	0.9660646596
736	119.0427385	0.9661160144
737	118.9876962	0.9661473413
738	118.8783535	0.9662095299
739	118.8197966	0.9662428106
740	118.8037103	0.9662519504
741	118.7550287	0.9662796023
742	118.702854	0.9663092257
743	118.6475418	0.9663406163
744	118.6088513	0.9663625651
745	118.5432057	0.9663997889
746	118.5375615	0.9664029885
747	118.4864961	0.9664319291
748	118.4524349	0.9664512259
749	118.1662438	0.9666131434
750	118.1580109	0.9666177955
751	118.1444191	0.966625475
752	118.1070733	0.9666465712
753	118.0425686	0.9666829936
754	117.9606347	0.9667292285
755	117.8651752	0.9667830553
756	117.7736974	0.9668345962
757	117.7403656	0.9668533662
758	117.718218	0.9668658351
759	117.6739342	0.9668907596
760	117.5485626	0.9669612722
761	117.4852398	0.9669968581
762	117.4839159	0.966997602
763	117.4379962	0.9670233955
764	117.2838991	0.9671098797
765	117.0605995	0.967235001
766	117.0312478	0.9672514299
767	116.9892209	0.9672749463
768	116.9307997	0.9673076221
769	116.9124448	0.9673178849
770	116.8510951	0.9673521757
771	116.7586035	0.967403839
772	116.6737925	0.9674511761
773	116.6436065	0.9674680161
774	116.5618174	0.9675136222
775	116.4772559	0.9675607405
776	116.4310545	0.9675864699
777	116.3895063	0.9676095991
778	116.3524874	0.9676302001
779	116.3462627	0.9676336635
780	116.3148459	0.9676511408
781	116.2594697	0.9676819353
782	116.2028476	0.9677134075
783	115.884957	0.9678898157
784	115.6673122	0.9680103154
785	115.6329001	0.968029347
786	115.6271258	0.9680325399
787	115.5168683	0.9680934767
788	115.4619761	0.9681237927
789	115.4268842	0.9681431658
790	115.3883266	0.9681644454
791	115.3434336	0.9681892124
792	115.2549225	0.968238015
793	115.1971481	0.96826985
794	115.1007532	0.9683229302
795	115.0964378	0.9683253054
796	115.0355962	0.968358784
797	114.9628344	0.9683987984
798	114.9153625	0.9684248914
799	114.9117258	0.9684268899
800	114.908145	0.9684288575
801	114.8831896	0.9684425691
802	114.8798524	0.9684444025
